id_bilancia,pesoTot,pesoc1,pesoc2,pesoc3,pesoc4,ora
0,10644,1565,4001,1153,3923,09:08:30
0,5091,1548,1075,1335,1131,09:10:30
0,5085,1548,1083,1332,1121,09:13:11
1,10662,1571,4004,1148,3936,09:13:11
0,10667,1572,3996,1158,3940,09:14:17
1,5094,1543,1080,1328,1142,09:14:17
0,5098,1547,1093,1326,1131,09:15:24
1,10693,1573,4006,1150,3962,09:15:24
0,5104,1537,1103,1316,1145,09:24:17
1,10684,1568,4000,1154,3961,09:24:17
0,5116,1542,1104,1319,1149,09:25:24
1,10665,1565,3990,1154,3955,09:25:24
0,5120,1544,1114,1323,1137,09:26:31
1,10692,1564,4017,1156,3953,09:26:31
0,5106,1541,1105,1320,1139,09:27:37
1,10680,1570,3988,1149,3971,09:27:37
0,5110,1535,1109,1319,1145,09:28:44
1,10705,1578,3998,1156,3971,09:28:44
0,5113,1540,1108,1321,1142,09:29:51
1,10721,1574,4010,1158,3978,09:29:51
0,5112,1542,1105,1324,1140,09:30:57
1,10683,1576,4009,1152,3944,09:30:57
0,5084,1534,1093,1315,1141,09:32:04
1,10676,1565,4002,1159,3948,09:32:04
0,5101,1532,1103,1321,1143,09:33:11
1,10673,1570,4001,1153,3947,09:33:11
0,5102,1539,1100,1314,1147,09:34:18
1,10691,1569,4000,1155,3965,09:34:18
0,5099,1532,1104,1314,1147,09:35:24
1,10711,1572,3996,1152,3989,09:35:24
0,5093,1537,1101,1314,1140,09:36:31
1,10708,1573,3995,1156,3983,09:36:31
0,5100,1541,1093,1312,1153,09:37:38
1,10696,1571,4000,1151,3972,09:37:38
0,5094,1539,1096,1316,1142,09:38:45
1,10717,1573,4002,1157,3984,09:38:45
0,5096,1533,1108,1311,1142,09:39:51
1,10692,1576,3997,1151,3967,09:39:51
0,5093,1533,1095,1315,1148,09:40:57
1,10692,1573,4004,1154,3960,09:40:57
0,5115,1535,1116,1310,1152,09:42:04
1,10687,1570,3994,1146,3975,09:42:04
0,5110,1534,1117,1305,1152,09:43:11
1,10679,1564,3994,1155,3964,09:43:11
0,5111,1531,1119,1311,1148,09:44:17
1,10716,1574,3998,1155,3988,09:44:18
0,5098,1531,1110,1307,1148,09:45:24
1,10711,1563,4003,1157,3987,09:45:24
0,5101,1533,1109,1306,1151,09:46:31
1,10684,1574,3997,1153,3958,09:46:31
0,5100,1531,1105,1309,1154,09:47:37
1,10672,1569,3993,1159,3949,09:47:38
0,5111,1531,1107,1316,1156,09:48:44
1,10717,1571,4001,1157,3987,09:48:44
0,5107,1538,1117,1305,1146,09:49:51
1,10702,1575,3995,1157,3973,09:49:51
0,5121,1532,1125,1310,1152,09:50:57
1,10702,1572,3993,1156,3980,09:50:58
0,5120,1534,1119,1308,1158,09:52:04
1,10701,1570,3996,1157,3977,09:52:04
0,5135,1536,1129,1311,1157,09:53:11
1,10685,1574,3995,1160,3955,09:53:11
0,5114,1531,1118,1310,1153,09:54:18
1,10696,1578,3998,1155,3964,09:54:18
0,5124,1534,1122,1314,1152,09:55:25
1,10699,1575,3997,1156,3969,09:55:25
0,5107,1527,1119,1311,1149,09:56:32
1,10675,1576,3994,1160,3944,09:56:32
0,5116,1532,1126,1308,1148,09:57:38
1,10689,1571,3993,1163,3961,09:57:38
0,5113,1528,1126,1301,1156,09:58:45
1,10700,1572,4002,1168,3957,09:58:45
0,5119,1535,1121,1308,1153,09:59:51
1,10679,1572,3987,1154,3965,09:59:51
0,5119,1535,1115,1308,1160,10:00:59
1,10696,1575,4000,1161,3958,10:00:59
0,5122,1534,1128,1303,1156,10:02:06
1,10716,1576,3992,1160,3987,10:02:06
0,5114,1527,1131,1305,1149,10:03:12
1,10701,1569,3988,1167,3976,10:03:12
0,5118,1533,1126,1302,1155,10:04:19
1,10668,1573,3987,1160,3947,10:04:19
0,5137,1528,1138,1310,1159,10:05:26
1,10688,1576,3992,1164,3954,10:05:26
